l1,l2,l3,system,description,typical_criticality,typical_dc_generations
Power — Critical,UPS,static UPS module,electrical,Double-conversion static UPS power module / amplifier,9,"legacy-raised-floor,enterprise-tier3,colo-wholesale"
Power — Critical,UPS,UPS rectifier/IGBT assembly,electrical,Rectifier / inverter IGBT power assembly for static UPS,9,"enterprise-tier3,colo-wholesale,cloud-hyperscale"
Power — Critical,UPS,UPS battery string (VRLA),electrical,Valve-regulated lead-acid battery string for UPS autonomy,8,"legacy-raised-floor,enterprise-tier3"
Power — Critical,UPS,UPS battery module (Li-ion),electrical,Lithium-ion battery module for modern UPS,8,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Critical,UPS,UPS static bypass switch,electrical,Static bypass / SCR assembly for UPS maintenance bypass,8,"enterprise-tier3,colo-wholesale"
Power — Critical,UPS,UPS control / display board,electrical,Control logic / HMI display board for UPS,6,"legacy-raised-floor,enterprise-tier3,colo-wholesale"
Power — Distribution,switchgear,MV vacuum circuit breaker,electrical,Medium-voltage vacuum circuit breaker (5-38 kV),9,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Distribution,switchgear,LV air circuit breaker,electrical,Low-voltage air/insulated-case circuit breaker (400-6300 A),8,"legacy-raised-floor,enterprise-tier3,colo-wholesale"
Power — Distribution,switchgear,MV protection relay,electrical,Numerical protection relay (50/51/87/27/59) for MV switchgear,8,"enterprise-tier3,colo-wholesale,cloud-hyperscale"
Power — Distribution,transformer,cast-resin distribution transformer,electrical,Dry-type cast-resin distribution transformer (500-3150 kVA),8,"enterprise-tier3,colo-wholesale,cloud-hyperscale"
Power — Distribution,transformer,oil-immersed power transformer,electrical,Oil-filled power transformer (10-100 MVA) for campus substation,9,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Distribution,transformer,transformer cooling fan / pump,electrical,Forced-air/forced-oil cooling auxiliary for power transformer,6,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Distribution,PDU,floor PDU transformer/breaker,electrical,Floor-mount PDU step-down transformer + distribution breakers,7,"legacy-raised-floor,enterprise-tier3,colo-wholesale"
Power — Distribution,PDU,rack PDU (metered/switched),electrical,Intelligent rack power distribution unit (metered/switched),5,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled,edge-micro"
